size,avg_b,avg_g,avg_r,avg_h,avg_s,avg_v,std_b,std_g,std_r,std_h,std_s,std_v,blob_count,fire
37110.53868,84.66395347,118.7065957,159.7088201,26.89361655,46.1233056,62.63090984,51.43563685,60.39715684,66.20852065,46.03031904,21.06914432,25.97224455,86,0
2609.05552,113.3143964,120.7701743,170.3240801,14.27441672,33.24377264,66.79375688,25.38338903,25.53057916,27.05247497,30.70992475,6.727747437,10.61464705,7,0
4892.948755,93.74260885,118.3705429,140.5013438,34.09190524,33.14099856,55.09856621,20.60993621,22.86281885,24.9666771,62.42474016,23.74501186,10.22114149,35,0
76511.36425,123.2590807,165.8516573,192.7793747,36.48804244,36.13167251,75.5997548,43.13935653,56.1571912,58.7526756,61.08740918,30.19820469,23.4017825,23,0
3714.819214,57.2972361,79.34286689,99.85597295,30.6049531,42.19331152,39.15920508,19.31318873,19.71513864,23.96961718,186.096614,20.91596135,9.430537602,161,0
2856.841186,68.62418097,100.7786271,134.70039,30.5812812,49.04184075,52.82368236,34.39764561,43.08473938,45.14923531,76.9027046,22.37695389,17.8542741,84,0
21640.71145,39.71331281,51.87702451,91.77002758,30.92782241,59.59529712,35.98824611,29.02199491,34.34061637,36.50574262,71.1817124,25.46489842,15.11008803,306,0
5667.667477,69.78025844,88.39556955,106.2645238,31.36567565,34.88788512,41.67236229,28.53739939,30.61188527,31.52249362,67.74028908,13.11565654,12.59470606,339,0
80198.17094,72.9705769,90.25214293,128.3150502,23.15293145,43.5302177,50.31962755,42.81333029,48.21276441,44.14831272,130.0965197,15.99805816,19.26390987,254,0
145975.6197,77.46163811,98.75186211,133.018003,75.73053807,43.00248986,52.16573471,57.12591289,56.55768855,48.32350336,184.2145339,16.66945417,22.51479521,190,0
111053.6624,65.19580635,88.12492132,127.8847235,25.74648656,49.56193547,50.15087197,41.70284793,49.56865742,49.84149522,68.77950316,19.19235487,19.76880058,259,0
25637.55014,78.62660045,98.16014911,118.8185617,30.96284769,33.82164046,46.59551441,23.01517464,25.11838847,23.95752858,99.80195203,11.15842542,9.922243933,153,0
1059.952704,98.09434878,115.150861,129.5869512,32.23628261,24.66959778,50.81841225,25.57530071,28.52317824,30.45887948,36.31127668,15.71660423,11.95744488,32,0
1429.82405,49.90579948,62.32192005,85.38155308,21.12025249,42.34966421,33.48296199,17.80626237,17.88894901,19.25782109,113.7125478,18.57459143,7.950431009,127,0
1634.339723,90.39018704,113.6751982,136.7340552,31.13065266,34.86618654,53.62255943,38.01921036,41.17894192,43.75523267,59.43929739,17.15976852,17.43388477,336,0
72023.9217,77.61787108,99.54536336,126.1774649,27.83748862,38.72112994,49.48135877,41.42284558,46.77055909,47.21478764,65.30269532,15.32077562,18.80948346,668,0
234444.8557,50.7351442,79.08093921,142.4664534,46.57633287,65.79770051,55.86919742,50.35748892,42.90376914,36.72051259,211.7664839,27.32220051,19.75660182,84,0
16938.54985,82.52971782,102.4238757,123.7509239,30.27883046,35.51134077,48.52977409,23.12070999,24.64144536,24.14499327,91.3531214,16.17197601,10.12095561,73,0
260.2641096,89.01065956,108.3409156,137.7026744,28.80414541,34.3307446,54.00104879,33.99530942,36.13239844,35.91649082,121.9184665,13.72473233,14.86146257,196,0
46811.52898,65.57448571,85.30588154,117.8781755,27.03504482,44.9416503,46.22998405,39.70229207,44.54010958,52.43981381,101.0390994,24.05658564,20.69970229,387,0
132584.5183,121.7453981,137.0602569,215.6854631,35.98277565,44.27911341,84.58253453,32.15558542,42.2050324,47.48516147,68.44354754,36.68596254,18.95165771,365,0
245512.0648,48.89339479,89.26208022,146.0180846,30.94849757,67.42368229,57.52756961,43.43689432,44.41611617,47.1203811,27.83824375,11.0047106,18.79674345,38,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5299.790568,134.2443197,143.6623785,191.3232798,17.7548865,29.94108942,75.02873718,23.81192139,24.00938563,25.77638429,99.67711009,20.87568728,10.78902004,238,0
2217.181168,106.2189914,130.6285211,154.5619605,29.82233169,30.28921893,60.61253352,24.62768067,26.46820425,26.25758606,76.47333941,10.43489193,10.66714034,103,0
2848.307133,69.31151459,98.13509477,122.1865104,32.52987993,43.80858779,47.9162786,28.70013127,34.48069074,35.64338963,96.269933,23.81151649,14.63836584,172,0
75935.31683,46.95932159,68.07172627,116.5317991,21.82502941,60.60108988,45.69874473,37.57398691,40.39907811,39.45298361,91.01096557,10.77099352,16.09229382,226,0
3784.91414,79.36290789,110.3254928,150.8679809,27.35429852,46.34367668,59.16391407,29.20391142,32.27124817,31.22031001,100.5734888,23.3432818,13.63067995,289,0
110901.6697,76.08969838,108.7230657,153.2747137,25.40593605,50.72412813,60.10773086,46.46626067,50.38025651,48.16557401,94.91306392,11.738664,20.11348114,119,0
198.8280777,75.76467288,113.8885647,155.5154304,31.02096435,50.36693577,60.98644328,30.61018883,34.12938334,39.20045527,93.91123266,29.71855852,16.00495956,277,0
14918.14894,88.72698629,104.1255946,129.0889162,25.54753159,32.72317069,50.62310439,21.10150363,23.44210953,29.55423076,42.58772226,25.90370115,11.69333841,239,0
456.8994234,91.54144779,102.0976297,130.7714926,51.73815594,30.51689712,51.28293829,36.11862999,36.33364403,33.73141165,118.3130067,18.42731388,15.27372488,280,0
100.5970696,51.8009768,69.61904762,92.58241758,24.47730331,45.01388375,36.30683042,27.61478211,30.1308704,33.37184919,66.93850124,19.87357299,13.18719463,48,0
7509.845614,88.05065082,109.7100547,122.2078476,47.6055714,29.37926518,48.0418419,30.30901165,26.10055624,23.11478982,153.7154594,19.03395041,12.16561756,159,0
22960.60929,156.390523,169.7249343,180.3721538,32.68148183,15.56840882,70.73417796,54.36092935,44.64378161,38.51566384,200.1613201,28.7640209,21.50821221,185,0
81776.14766,50.14064209,65.79142733,125.5300511,42.76519018,60.45258997,49.22895744,46.42623042,48.05915966,51.37128375,59.77900392,13.23925973,20.34556824,441,0
12,50.83333333,78.33333333,154.1666667,15.96774194,67.02702703,60.45751634,13.98113809,8.478731561,29.19712695,344.0651563,70.96039081,11.44985371,1,0
151360.2662,114.8016524,155.2347182,174.4362203,40.8182353,34.05454472,68.40636092,34.18938851,46.78218773,52.16115974,44.80375001,34.0147903,20.4792391,104,0
218800.9633,37.04358214,46.62038041,111.542384,12.16496927,67.57322798,43.74211137,34.39143729,41.47749129,47.78232904,44.04658286,29.68408516,18.82749057,421,0
32257.076,111.838183,130.6231348,148.3304409,31.10256849,26.12356396,58.16880035,34.64740442,39.47302539,41.5594777,87.25792607,19.39751422,16.57417469,86,0
